Question,Translated Question (Ko),GPT-3.5 Answer to Translated Question (Ko),GPT-3.5 Answer,Translated back GPT-3.5 Answer (En),Answer Key,Cosine Similarity,Choices
"Marty and Biff were both running for student council president. A poll was taken to see how the candidate’s campaigns were going. 45% of the people polled said they were voting for Biff and 8% were undecided. The rest said they are voting for Marty. If 200 people were polled, how many said they are voting for Marty?","마티와 비프는 학생회장 선거를 위해 달렸다. 후보들의 캠페인이 어떻게 진행되고 있는지 확인하기 위해 여론조사가 실시되었다. 조사된 사람들 중 45%가 비프에게 투표할 것이라고 말했고, 8%는 아직 결정하지 않았다고 했다. 나머지는 마티에게 투표할 것이라고 했다. 만약 200명의 사람들이 조사를 받았다면, 몇 명이 마티에게 투표할 것이라고 말했는가?","비프에게 투표할 사람들의 비율은 45%이고, 아직 결정하지 않은 사람들은 8%이다. 따라서 마티에게 투표할 사람들의 비율은 100% - 45% - 8% = 47%이다.

200명의 사람들 중 47%가 마티에게 투표할 것이라고 말했으므로, 마티에게 투표할 사람은 200 * 47% = 94명이다. 따라서 94명의 사람들이 마티에게 투표할 것이라고 말했다.","First, we can calculate the percentage of people who said they are voting for Marty by subtracting the percentage who are voting for Biff and the percentage who are undecided from 100%.

100% - 45% (for Biff) - 8% (undecided) = 47%

So, 47% of the people polled said they are voting for Marty.

To find the number of people who said they are voting for Marty, we can multiply the percentage by the total number of people polled.

47% of 200 = 0.47 * 200 = 94

Therefore, 94 people said they are voting for Marty.","The percentage of people voting for Beef is 45% and those who haven't decided yet are 8%. Therefore, the percentage of people voting for Martie is 100% - 45% - 8% = 47%.

Out of 200 people, 47% said they would vote for Martie, so the number of people voting for Martie is 200 * 47% = 94. Therefore, 94 people said they would vote for Martie.","If 45% of people were voting for Biff + 8% were undecided = 53% were not voting for Marty.
There were 100 – 53 = <<100-53=47>>47% voting for Marty.
If 47% of 200 people were voting for Marty, 0.47 x 200 = <<0.47*200=94>>94 people said they were voting for Marty.
#### 94",0.61937106,
"Blanch has 15 slices of pizza in the fridge. During breakfast, she eats 4 slices. At lunch, Blanch eats 2 slices, then takes two slices as a snack. Finally, she consumes 5 slices for dinner. How many slices of pizza are left?","블란치는 냉장고에 피자 조각 15개가 있습니다. 아침 식사 중에 그녀는 4조각을 먹습니다. 점심때에는 2조각을 먹고, 간식으로 2조각을 먹습니다. 마지막으로 저녁 식사에 5조각을 먹습니다. 피자 조각이 몇 개 남았습니까?","냉장고에는 15개의 피자 조각이 있었습니다.
블란치가 냉장고에서 먹은 피자 조각은 모두 4 + 2 + 2 + 5 = 13조각입니다.
따라서 남은 피자 조각은 15 - 13 = 2개입니다. 따라서 냉장고에는 2개의 피자 조각이 남았습니다.","After breakfast, Blanch has 15 - 4 = 11 slices of pizza left.
After lunch, Blanch has 11 - 2 = 9 slices of pizza left.
After the snack, Blanch has 9 - 2 = 7 slices of pizza left.
After dinner, Blanch has 7 - 5 = 2 slices of pizza left.

Blanch is left with 2 slices of pizza in the fridge.","There were 15 pieces of pizza in the fridge. Blanch ate a total of 4 + 2 + 2 + 5 = 13 pieces of pizza from the fridge. Therefore, the remaining pieces of pizza are 15 - 13 = 2. Therefore, there are 2 pieces of pizza left in the fridge.","During breakfast, Blanch has 15 - 4 = <<15-4=11>>11 slices left.
At lunch, she still has 11 - 2 = <<11-2=9>>9 slices left.
After the snack, there are still 9 - 2 = <<9-2=7>>7 slices left.
Finally after dinner, Blanch has 7 - 5 = <<7-5=2>>2 slices left.
#### 2",0.8496108,
Jamie and Oliver are planning to go on a vacation. A plane ticket costs $24 for each person and a hotel stay costs $12 for each person per day. How much money will they spend on the vacation if they stay for 3 days?,"제이미와 올리버는 휴가를 가기로 계획 중입니다. 한 사람당 비행기 표는 $24이고, 한 사람당 호텔 숙박비는 하루에 $12입니다. 3일 동안 머물렀다면, 휴가에 얼마나 돈을 쓰게 될까요?","제이미와 올리버가 휴가를 가기로 했고, 한 사람당 비행기 표는 $24이며, 호텔 숙박비는 하루에 $12입니다. 3일 동안 머물렀다면, 각 사람이 소비하는 비용을 계산해봅시다.

비행기 표: $24 * 1명 = $24
호텔 숙박비: $12 * 3일 * 1명 = $36

따라서, 제이미와 올리버가 3일 동안 휴가에 $60을 소비하게 됩니다.","First, let's calculate how much they will spend on the plane tickets. 

Jamie and Oliver each need a ticket, so the total cost for the plane tickets is 2 * $24 = $48.

Next, let's calculate how much they will spend on the hotel stay. 

The cost for the hotel stay per person per day is $12, so for both Jamie and Oliver, it will be 2 * $12 = $24 per day.
For 3 days, the total cost for the hotel stay will be 3 * $24 = $72.

Adding the cost of the plane tickets and the hotel stay together, they will spend $48 + $72 = $120 on the vacation.","Jamie and Oliver decided to go on vacation, and the cost of a plane ticket per person is $24, and the hotel stay is $12 per day. If they stayed for 3 days, let's calculate the cost for each person.

Plane ticket: $24 * 1 person = $24
Hotel stay: $12 * 3 days * 1 person = $36

Therefore, Jamie and Oliver will spend $60 on their vacation for 3 days.","Jamie and Oliver will spend $24 x 2 = $<<24*2=48>>48 for the plane ticket.
They will spend $12 x 2 = $<<12*2=24>>24 for staying in the hotel per day.
So, the total amount they will spend on the hotel for a 3-day stay is $24 x 3 = $<<24*3=72>>72.
Therefore, the total amount they will spend on their vacation is $72 + $48 = $<<72+48=120>>120.
#### 120",0.9347166,
"Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost?",세 명의 친구들이 각각 5봉지의 감자칩을 사는 데 동일한 금액을 지불하기로 합의했습니다. 그들이 각각 5달러를 지불하면 각 봉지의 감자칩은 얼마인가요?,"세 명의 친구들이 총 15봉지의 감자칩을 샀으므로, 총 금액은 15달러입니다. 따라서 각 봉지의 감자칩 가격은 15달러를 15봉지로 나눈 1달러가 됩니다. 따라서 각 봉지의 감자칩은 1달러입니다.","If three friends pay $5 each for 5 bags of chips, then the total amount paid is $5 x 3 = $15.
Therefore, each bag of chips costs $15 / 5 = $3.","Three friends bought a total of 15 bags of potato chips, so the total amount is 15 dollars. Therefore, the price of each bag of potato chips is 1 dollar, which is obtained by dividing 15 dollars by 15 bags. Therefore, each bag of potato chips is 1 dollar.","Five bags of chips cost $5 x 3 = $<<5*3=15>>15.
So each bag of chips costs $15/5 = $<<15/5=3>>3.
#### 3",0.77330434,
"Julio goes fishing and can catch 7 fish every hour. By the 9th hour, how many fish does Julio have if he loses 15 fish in the process?","후리오는 낚시를 가서 한 시간에 7마리의 물고기를 낚을 수 있습니다. 9시간이 지나면, 그는 과정 중에 물고기 15마리를 잃어버렸다면, 후리오가 몇 마리의 물고기를 가지고 있을까요?","후리오가 9시간 동안 7마리씩 물고기를 낚았다면, 총 63마리의 물고기를 잡을 수 있었습니다. 하지만 15마리를 잃어버렸으므로, 후리오는 현재 63마리 - 15마리 = 48마리의 물고기를 가지고 있습니다.","After 9 hours of fishing, Julio would have caught 63 fish (7 fish every hour * 9 hours = 63 fish). If he loses 15 fish, then he would have 63 fish - 15 fish = 48 fish left. Therefore, Julio would have 48 fish after 9 hours of fishing and losing 15 fish.","If Hoori caught 7 fish each for 9 hours, he could catch a total of 63 fish. However, he lost 15 fish, so Hoori currently has 63 fish - 15 fish = 48 fish.","Julio catches a total of 7 fish/hour * 9 hours = <<7*9=63>>63 fish.
After losing some of the fish, Julio has 63 fish - 15 fish = <<63-15=48>>48 fish.
#### 48",0.74077225,
"The pet shop grooms dogs.  It takes 30 minutes to groom a poodle.  It takes half as much time to groom a terrier as it takes to groom a poodle.  They do not groom cats.  If the pet shop grooms 3 poodles and 8 terriers, what is the total length of time it will take, in minutes?","애완동물 가게는 개들을 그루밍 합니다. 푸들을 그루밍 하는 데에는 30분이 걸립니다. 테리어를 그루밍 하는 데는 푸들을 그루밍 하는 데 걸리는 시간의 절반만큼의 시간이 걸립니다. 고양이를 그루밍 하지는 않습니다. 만약에 애완동물 가게가 푸들을 3마리와 테리어를 8마리 그루밍 한다면, 총 소요시간은 몇 분인가요?","푸들을 그루밍하는 데 30분이 걸리고, 테리어를 그루밍하는 데는 푸들을 그루밍하는 데 걸리는 시간의 절반인 15분이 걸립니다. 따라서 푸들 3마리를 그루밍하는 데에는 30분 * 3 = 90분이 걸리고, 테리어 8마리를 그루밍하는 데에는 15분 * 8 = 120분이 걸립니다.

따라서 총 소요시간은 90분 + 120분 = 210분이 걸립니다. 따라서 총 소요시간은 210분입니다.","To groom 3 poodles, it will take 3 poodles * 30 minutes/poodle = 90 minutes.
To groom 8 terriers, it will take 30 minutes / 2 = 15 minutes per terrier.
So, it will take 8 terriers * 15 minutes/terrier = 120 minutes to groom the terriers.
Thus, the total length of time it will take is 90 minutes + 120 minutes = 210 minutes.","Grooming a poodle takes 30 minutes, and grooming a terrier takes half the time it takes to groom a poodle, which is 15 minutes. Therefore, grooming 3 poodles takes 30 minutes * 3 = 90 minutes, and grooming 8 terriers takes 15 minutes * 8 = 120 minutes.

Therefore, the total time required is 90 minutes + 120 minutes = 210 minutes. So the total time required is 210 minutes.","At a rate of 30 minutes per poodle, 3 poodles will take 3*30=<<3*30=90>>90 minutes.
If it takes half as much time to groom a terrier as it takes to groom a poodle, it takes 30/2=<<30/2=15>>15 minutes per terrier.
At a rate of 15 minutes per terrier, 8 terriers will take 120 minutes.
Thus, in total, it will take the pet shop 90+120=<<90+120=210>>210 minutes to groom 3 poodles and 8 terriers.
#### 210",0.9682728,
James buys 6 t-shirts for 50% off.  They each cost $20.  How much did he pay?,제임스는 50% 할인된 가격에 티셔츠 6장을 샀습니다. 각각의 가격은 20달러였습니다. 그는 얼마를 지불했습니까?,티셔츠 한 벌의 가격은 20달러이지만 50% 할인되었으므로 20달러의 반인 10달러에 구입했습니다. 따라서 6장의 티셔츠의 총 가격은 10달러 * 6장 = 60달러입니다. 따라서 제임스는 총 60달러를 지불했습니다.,"The original price of each t-shirt is $20, so with a 50% discount, James pays half of the original price. 

6 t-shirts at $20 each would normally cost 6 * $20 = $120. 
With the 50% discount, James pays $120 * 0.5 = $60 for the 6 t-shirts. 

So, James paid $60 for 6 t-shirts.","The price of one T-shirt is 20 dollars, but it was discounted by 50%, so I bought it for half the price, which is 10 dollars. Therefore, the total price for 6 T-shirts is 10 dollars * 6 = 60 dollars. Therefore, James paid a total of 60 dollars.","Each shirt cost 20*.5=$<<20*.5=10>>10 with the sale
So he paid 10*6=$<<10*6=60>>60
#### 60",0.93758625,
"A city has a population of 300,000.  50,000 people immigrate to the country and then 30,000 people leave.  After that 1/8 of the population gets pregnant and 1/4 of those people have twins.  How many people are there after the births?","도시의 인구는 300,000 명이 있습니다. 50,000 명이 이민을 갔다 왔으며 그 후 30,000 명이 떠났습니다. 그 후에 전체의 1/8 이 임신하였고, 그 중 1/4 가 쌍둥이를 가졌습니다. 출산 후 인구는 몇 명입니까?","이민을 갔다온 인구: 300,000 + 50,000 = 350,000 명
떠난 인구: 350,000 - 30,000 = 320,000 명
임신한 인구: 320,000 * (1/8) = 40,000 명
쌍둥이를 가진 인구: 40,000 * (1/4) = 10,000 명
출산 후 인구: 320,000 + 10,000 = 330,000 명

따라서, 출산 후 인구는 330,000 명입니다.","Population before immigration: 300,000
Immigration: +50,000
Total population: 350,000

Emigration: -30,000
Total population after emigration: 320,000

1/8 of the population gets pregnant: (1/8) * 320,000 = 40,000

1/4 of those people have twins: (1/4) * 40,000 = 10,000

Total births: 40,000 + 10,000 = 50,000

After the births, the population is: 320,000 + 50,000 = 370,000

So, there are 370,000 people after the births.","Population that immigrated: 300,000 + 50,000 = 350,000 people
Population that emigrated: 350,000 - 30,000 = 320,000 people
Pregnant population: 320,000 * (1/8) = 40,000 people
Population with twins: 40,000 * (1/4) = 10,000 people
Population after childbirth: 320,000 + 10,000 = 330,000 people

Therefore, the population after childbirth is 330,000.","There was a net immigration to the country of 50,000-30,000=<<50000-30000=20000>>20,000
So the total number of people before birth is 300,000+20,000=<<300000+20000=320000>>320,000
That means 320,000/8=<<320000/8=40000>>40,000 get pregnant
So 40,000/4=<<40000/4=10000>>10,000 have twins
So that means they have 10,000*2=<<10000*2=20000>>20,000 children
There are 40,000-10,000=<<40000-10000=30000>>30,000 children from single births
So the total number of people is 320,000+30,000+20,000=<<320000+30000+20000=370000>>370,000
#### 370000",0.9098741,
"Mitch has saved $20000 to finance his boating hobby. A new boat costs $1500 per foot in length. If Mitch needs to keep $500 for a license and registration, and three times that amount for docking fees, how many feet is the longest boat he can buy?","미치는 자신의 보트 취미를 위해 20000달러를 모았습니다. 새 보트의 가격은 길이 당 1500달러입니다. 미치는 면허 및 등록을 위해 500달러를 유지해야 하며, 도킹 요금의 세 배를 유지해야 합니다. 미치가 구매할 수있는 가장 긴 보트의 길이는 얼마입니까?","먼저 면허와 등록을 위해 500달러를 빼고, 도킹 요금의 세 배를 계산하여 20000달러 - 500달러 - (3 * 도킹 요금)의 값이 새 보트의 가격보다 작아야 합니다.

따라서, 20000달러 - 500달러 - (3 * 1500달러 * x) < 1500달러 * x

여기서 x는 보트의 길이입니다.

이를 해결하기 위해, x를 구할 수 있습니다.

x를 구하기 위해 선형 방정식을 푸는 것이 필요합니다. 최종적으로, x는 9.09이며, 미치가 구매할 수 있는 가장 긴 보트의 길이는 9.09 달러가 됩니다. 따라서, 미치는 9.09 길이의 보트를 구매할 수 있습니다.","First, let's calculate the total amount needed for the license, registration, and docking fees:
$500 for license and registration
3 * $500 = $1500 for docking fees

Total = $500 + $1500 = $2000

Now let's subtract the total amount needed from the total savings to find out how much Mitch can spend on the boat:
$20000 - $2000 = $18000

Finally, let's calculate the maximum length of the boat Mitch can buy:
$1500 per foot
So, $18000 / $1500 = 12 feet

So, the longest boat Mitch can buy is 12 feet.","First, deduct $500 for license and registration, and calculate three times the docking fee from $20,000 - $500 - (3 * docking fee), which should be less than the price of the new boat.

Therefore, $20,000 - $500 - (3 * $1,500 * x) < $1,500 * x

Where x is the length of the boat.

To solve for x, we need to solve a linear equation.

In the end, x is 9.09, and that is the longest boat length that Mitch can purchase. Therefore, Mitch can purchase a boat of length 9.09.","Mitch needs to keep 500 * 3 = <<500*3=1500>>1500 for docking fees.
Thus, he needs to keep 500 + 3 * 500 = $<<500+3*500=2000>>2000 for license, registration, and docking fees.
He has 20000 - 2000 = $<<20000-2000=18000>>18000 left to spend on a boat.
Therefore, the longest boat he can buy is 18000 / 1500 = <<18000/1500=12>>12 feet long.
#### 12",0.91352046,
"Ali and Ernie lined up boxes to make circles. Ali used 8 boxes to make each of his circles and Ernie used 10 for his. If they had 80 boxes to begin with and Ali makes 5 circles, how many circles can Ernie make?","앨리와 어니는 상자를 원을 만들기 위해 줄 세웠습니다. 앨리는 각각의 원을 만들기 위해 8개의 상자를 사용했고 어니는 각각 10개의 상자를 사용했습니다. 처음에는 80개의 상자가 있었고 앨리는 5개의 원을 만든다면, 어니는 몇 개의 원을 만들 수 있을까요?","앨리는 5개의 원을 만들기 위해 5 * 8 = 40개의 상자를 사용했습니다.
따라서, 80 - 40 = 40개의 상자가 남았습니다.
어니는 40개의 상자를 사용하여 40 / 10 = 4개의 원을 만들 수 있습니다. 따라서 어니는 4개의 원을 만들 수 있습니다.","Ali used 8 boxes for each circle, so for 5 circles he used 8*5 = 40 boxes
There were 80-40 = 40 boxes left for Ernie to use
Ernie used 10 boxes for each circle, so he can make 40/10 = 4 circles. Answer: 4","Ali used 40 boxes to make 5 circles. Therefore, there are 40 boxes left out of 80. Eni can make 4 circles using 40 boxes. Therefore, Eni can make 4 circles.","Ali made 5 circles with 8 boxes each so he used 5*8 = <<5*8=40>>40 boxes
There were 80 boxes to start with so now there are 80-40 = <<80-40=40>>40 boxes left
Ernie used 10 boxes to make one circle so with 40 boxes he can make 40/10 = <<40/10=4>>4 circles
#### 4",0.82049423,
"The square footage of the two bedrooms in the apartment that Jenny and Martha share totals 300 square feet. If Jenny's bedroom is 60 square feet larger than Martha's, how large, in square feet, is Martha's bedroom?","제니와 마샤가 함께 공유하는 아파트의 두 침실의 평방피트는 총 300평방피트입니다. 제니의 침실이 마샤의 침실보다 60평방피트 더 크다면, 마샤의 침실은 몇 평방피트인가요?","제니의 침실 + 마샤의 침실 = 300
제니의 침실 = 마샤의 침실 + 60

따라서,
마샤의 침실 = (300 - 제니의 침실)
마샤의 침실 = (300 - (마샤의 침실 + 60))
마샤의 침실 = 300 - 마샤의 침실 - 60
2마샤의 침실 = 240
마샤의 침실 = 240 / 2
마샤의 침실 = 120

따라서, 마샤의 침실은 120평방피트입니다.","Let's call the size of Martha's bedroom ""x"" square feet. Then, Jenny's bedroom is x + 60 square feet.

We know that the total square footage of both bedrooms is 300 square feet. So, we can write the equation:

x + (x + 60) = 300

Simplifying, we get:

2x + 60 = 300
2x = 240
x = 120

So, Martha's bedroom is 120 square feet.","Jenny's bedroom + Masha's bedroom = 300
Jenny's bedroom = Masha's bedroom + 60

Therefore,
Masha's bedroom = (300 - Jenny's bedroom)
Masha's bedroom = (300 - (Masha's bedroom + 60))
Masha's bedroom = 300 - Masha's bedroom - 60
2Masha's bedroom = 240
Masha's bedroom = 240 / 2
Masha's bedroom = 120

Therefore, Masha's bedroom is 120 square feet.","Let M be the number of square feet in Matha's bedroom
Jenny's bedroom is M+60 square feet.
M+M+60=300
2M+60=300
2M=240
M=<<120=120>>120
Martha's bedroom is 120 square feet.
#### 120",0.7787243,
"Ben has two brothers. They can each eat 12 slices of pizza. They are ordering pizza for the night and want to make sure they get enough. The large pizzas have 14 slices and the small pizzas have 8. If they order 1 small pizza, how many large pizzas do they need to order?","벤에겐 두 형제가 있습니다. 그들은 12조각의 피자를 각각 먹을 수 있습니다. 그들은 저녁을 위해 피자를 주문하려고하고 충분한 양을 확보하고 싶어합니다. 대형 피자는 14조각, 소형 피자는 8조각입니다. 만약 그들이 소형 피자를 1판 주문한다면, 그들은 몇 장의 대형 피자를 주문해야합니까?","두 형제가 12조각의 피자를 각각 먹을 수 있으므로, 총 24조각의 피자를 먹을 수 있습니다. 만약 소형 피자를 1판 주문한다면 8조각의 피자를 얻을 수 있고, 이는 한 형제가 먹을 수 있는 양보다 적습니다.

따라서, 그들은 대형 피자를 2판 주문해야 합니다. 한 판의 대형 피자에는 14조각이 있으므로, 총 28조각의 피자를 얻을 수 있으며 이는 충분한 양입니다.","First, let's calculate how many slices Ben and his two brothers need in total. 
Since each brother can eat 12 slices and there are three brothers in total, they need 12 * 3 = 36 slices.

Now, let's see how many slices each type of pizza has. 
The small pizza has 8 slices and the large pizza has 14. Ben and his brothers are ordering 1 small pizza, so that provides 8 slices. They still need 36 - 8 = 28 slices.

Since the large pizza has 14 slices, they need to order 28 / 14 = 2 large pizzas.

Therefore, Ben and his brothers need to order 2 large pizzas in addition to the 1 small pizza to have enough for the night.","The two brothers can each eat 12 slices of pizza, so they can eat a total of 24 slices of pizza. If they order a small pizza, they will get 8 slices, which is less than what one brother can eat.

Therefore, they should order two large pizzas. One large pizza has 14 slices, so they will get a total of 28 slices of pizza, which is enough.","They need 36 slices because 3 x 12 = <<3*12=36>>36
After ordering the small, they need 28 slices because 36 -8 = <<28=28>>28
They need 2 large pizzas because 28 / 14 = <<28/14=2>>2
#### 2",0.85259026,
"John is twice as old as Mary and half as old as Tonya. If Tanya is 60, what is their average age?","존은 메리보다 두 배 더 나이가 많고, 타냐보다 반으로 나이가 많습니다. 타냐가 60살이라면, 그들의 평균 연령은 얼마입니까?","존은 타냐의 나이의 두 배 더 나이가 많으므로 60 x 2 = 120살입니다.
또한 존은 메리보다 반으로 나이가 많으므로, 메리의 나이는 120 / 2 = 60살입니다.
따라서 그들의 평균 연령은 (60 + 60 + 120) / 3 = 80살입니다. 따라서 그들의 평균 연령은 80살입니다.","If Tanya is 60, then John is half of Tanya's age, which is 30. Mary is half of John's age, which is 15.

So, to find their average age, we add their ages together and divide by 3:
Average age = (60 + 30 + 15) / 3
Average age = 105 / 3
Average age = 35

Therefore, their average age is 35.","John is twice as old as Tanya, so he is 60 x 2 = 120 years old. Also, John is half as old as Mary, so Mary's age is 120 / 2 = 60 years old. Therefore, their average age is (60 + 60 + 120) / 3 = 80 years old. So their average age is 80 years old.","John is 30 because 60 / 2 = <<60/2=30>>30
Mary is fifteen because 30 / 2 = <<30/2=15>>15
Their total age is 105 because 60 + 30 + 15 = <<60+30+15=105>>105
Their average age is 35 because 105 / 3 = <<105/3=35>>35
#### 35",0.90957963,
A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,"한 교실에는 500개의 책상이 있으며, 교실에 있는 책의 총 수는 책상의 수의 2/5배입니다. 이 교실에는 모두 몇 권의 책이 있을까요?","책상의 수는 500개이므로, 책의 수는 500 * (2/5) = 200권입니다. 따라서 이 교실에는 총 200권의 책이 있습니다.","First, we need to find out how many books are on top of each table. 
2/5 * 500 = 200 books on top of each table.

Now, to find the total number of books in the class, we need to multiply the number of books on each table by the total number of tables:
200 * 500 = 100,000 books in the class.","There are 500 desks, so the number of books is 500 * (2/5) = 200 books. Therefore, there are a total of 200 books in this classroom.","If there are 2/5 times as many books as the number of tables in the class on top of each table, there are 2/5*500 = <<2/5*500=200>>200 books.
Since the class has 500 tables with 200 books on top of each, there are 500*200 = <<500*200=100000>>100000 books.
#### 100000",0.7652012,
John buys a vacuum cleaner for $250 and a dishwasher for $450.  She has a $75 off coupon.  How much did he spend?,"존은 청소기를 250달러에, 식기 세척기를 450달러에 샀다. 그녀는 75달러 할인 쿠폰을 갖고 있다. 그가 얼마를 썼는가?","250 달러 + 450 달러 = 700 달러
700 달러 - 75 달러 = 625 달러

존은 총 625달러를 썼습니다.","John spent $625 on the vacuum cleaner and dishwasher before applying the coupon. After the coupon, he spent $550 in total.","250 dollars + 450 dollars = 700 dollars
700 dollars - 75 dollars = 625 dollars

John spent a total of 625 dollars.","The combined price was 250+450=$<<250+450=700>>700
So he paid 700-75=$<<700-75=625>>625
#### 625",0.53563493,
