Question,Translated Question (Ko),GPT-3.5 Answer to Translated Question (Ko),GPT-3.5 Answer,Translated back GPT-3.5 Answer (En),Answer Key,Cosine Similarity,Choices
"A hinged door is not always found in which room of the house? Choose the correct answer from the following options: 'A': 'jamb', 'B': 'own house', 'C': 'building', 'D': 'kitchen', 'E': 'washing machine'","집의 어느 방에도 피벗 문이 항상 있는 것은 아닙니다? 다음 옵션 중에서 옳은 답을 선택하십시오: 'A': '문틀', 'B': '자기 집', 'C': '건물', 'D': '부엌', 'E': '세탁기'",정답은 'C': '건물' 입니다. 모든 건물에 피벗 문이 있는 것은 아닙니다.,The correct answer is: E: 'washing machine',The correct answer is 'C': 'building'. Not all buildings have pivot doors.,D,0.26786298,"[{'label': 'A', 'text': 'jamb'}, {'label': 'B', 'text': 'own house'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'kitchen'}, {'label': 'E', 'text': 'washing machine'}]"
"Because he was a poor patient, what did he resist doing when nurses prompted him? Choose the correct answer from the following options: 'A': 'appear better', 'B': 'visit doctor', 'C': 'will to survive', 'D': 'take pills', 'E': 'pay bill'","간호사들이 그를 촉구할 때 그가 한일은 무엇입니까? 다음 옵션 중 옳은 대답을 선택하십시오: 'A': 'appear better', 'B': 'visit doctor', 'C': 'will to survive', 'D': 'take pills', 'E': 'pay bill'

정답: 'D': '약을 복용'",(D): '약을 복용',The correct answer is 'D': 'take pills'.,(D): 'Take the medicine',D,0.662464,"[{'label': 'A', 'text': 'appear better'}, {'label': 'B', 'text': 'visit doctor'}, {'label': 'C', 'text': 'will to survive'}, {'label': 'D', 'text': 'take pills'}, {'label': 'E', 'text': 'pay bill'}]"
"What collection of writing would you be able to look up what a sloth is? Choose the correct answer from the following options: 'A': 'wilderness', 'B': 'encyclopedia', 'C': 'magazine', 'D': 'commercial', 'E': 'countryside'","어떤 글 모음집에서 나 lazy sloth가 무엇인지 찾을 수 있을까요? 다음 옵션 중에서 올바른 답을 고르세요: 'A': '자연', 'B': '백과사전', 'C': '잡지', 'D': '상업', 'E': '시골'",'B': '백과사전',B: encyclopedia,'B': 'Encyclopedia',B,0.8797542,"[{'label': 'A', 'text': 'wilderness'}, {'label': 'B', 'text': 'encyclopedia'}, {'label': 'C', 'text': 'magazine'}, {'label': 'D', 'text': 'commercial'}, {'label': 'E', 'text': 'countryside'}]"
"Where are people who do the same kind of work likely to gather? Choose the correct answer from the following options: 'A': 'train station', 'B': 'convention', 'C': 'workplace', 'D': 'wedding', 'E': 'theater'","같은 종류의 일을 하는 사람들은 어디에 모이는 경향이 있나요? 다음의 옵션 중에서 올바른 답을 선택하십시오: 'A': '기차역', 'B': '컨벤션', 'C': '직장', 'D': '결혼식', 'E': '극장'",B': '컨벤션',C: workplace,B': 'convention',B,0.32972428,"[{'label': 'A', 'text': 'train station'}, {'label': 'B', 'text': 'convention'}, {'label': 'C', 'text': 'workplace'}, {'label': 'D', 'text': 'wedding'}, {'label': 'E', 'text': 'theater'}]"
"Where would you find out what a lemur is? Choose the correct answer from the following options: 'A': 'house', 'B': 'hole', 'C': 'wilderness', 'D': 'dictionary', 'E': 'sunshine'","답은 'D': '사전'입니다.레무르란 무엇인지 알아내려면 어디에서 찾을 수 있습니까? 다음 옵션 중에서 올바른 답을 선택하십시오. 'A': '집', 'B': '구멍', 'C': '황야', 'D': '사전', 'E': '햇볕'",'D': '사전',D: dictionary,'D': 'Dictionary',D,0.90956944,"[{'label': 'A', 'text': 'house'}, {'label': 'B', 'text': 'hole'}, {'label': 'C', 'text': 'wilderness'}, {'label': 'D', 'text': 'dictionary'}, {'label': 'E', 'text': 'sunshine'}]"
"What is a child's reaction likely to be when going to play? Choose the correct answer from the following options: 'A': 'happiness', 'B': 'meet', 'C': 'surprised', 'D': 'being entertained', 'E': 'happy'","어린이가 놀러 갈 때 반응은 무엇일까요? 다음 옵션 중 올바른 답을 선택하십시오: 'A' : '행복', 'B' : '만나다', 'C' : '놀라다', 'D' : '즐거워하다', 'E' : '행복하다'",답: E: '행복하다',E: 'happy',Answer: E: 'to be happy',E,0.865993,"[{'label': 'A', 'text': 'happiness'}, {'label': 'B', 'text': 'meet'}, {'label': 'C', 'text': 'surprised'}, {'label': 'D', 'text': 'being entertained'}, {'label': 'E', 'text': 'happy'}]"
"Some monkeys originated in this place that has borders and many people. Choose the correct answer from the following options: 'A': 'kentucky', 'B': 'rain forest', 'C': 'treetops', 'D': 'research laboratory', 'E': 'south africa'","몇몇 원숭이들은 이곳에서 시작되었고, 이곳은 국경이 있고 많은 사람들이 사는 곳입니다. 다음 옵션 중 올바른 답을 선택하십시오: 'A': '켄터키', 'B': '우림', 'C': '나무 꼭대기', 'D': '연구소', 'E': '남아프리카'",E: '남아프리카',B: rain forest,E: 'South Africa',E,0.267435,"[{'label': 'A', 'text': 'kentucky'}, {'label': 'B', 'text': 'rain forest'}, {'label': 'C', 'text': 'treetops'}, {'label': 'D', 'text': 'research laboratory'}, {'label': 'E', 'text': 'south africa'}]"
"What is a fun way for children to be learning about science? Choose the correct answer from the following options: 'A': 'time', 'B': 'frustration', 'C': 'become educated', 'D': 'experiment', 'E': 'excitement'","어린이들이 과학을 배우는 재미있는 방법은 무엇인가요? 다음 옵션 중에서 올바른 답을 선택하세요: 'A': '시간', 'B': '좌절', 'C': '교육을 받다', 'D': '실험', 'E': '흥분'",'D': '실험' - 어린이들이 과학을 배우는 재미있는 방법은 실험을 통해 직접적으로 경험하고 발견하는 것입니다.,D: 'experiment','D': 'Experiment' - A fun way for children to learn science is to directly experience and discover through experiments.,D,0.7413057,"[{'label': 'A', 'text': 'time'}, {'label': 'B', 'text': 'frustration'}, {'label': 'C', 'text': 'become educated'}, {'label': 'D', 'text': 'experiment'}, {'label': 'E', 'text': 'excitement'}]"
"WHat does someone usually produce a lot of when getting divorce? Choose the correct answer from the following options: 'A': 'freedom', 'B': 'tears', 'C': 'richer', 'D': 'depression', 'E': 'tissues'","이혼할 때 대개 사람들이 많이 생산하는 것은 무엇입니까? 다음 옵션에서 올바른 대답을 선택하십시오: 'A': '자유', 'B': '눈물', 'C': '부유', 'D': '우울', 'E': '휴지'",B: '눈물',B: 'tears',B: 'Tears',B,0.99999994,"[{'label': 'A', 'text': 'freedom'}, {'label': 'B', 'text': 'tears'}, {'label': 'C', 'text': 'richer'}, {'label': 'D', 'text': 'depression'}, {'label': 'E', 'text': 'tissues'}]"
"The dream was so terrible, what did the dreamer do? Choose the correct answer from the following options: 'A': 'reality', 'B': 'nightmare', 'C': 'park', 'D': 'dreamworker', 'E': 'awake'","그 꿈은 너무 끔찍했어. 꿈 꾼 사람이 뭘 했을까? 올바른 대답을 고르세요. 'A': '현실', 'B': '악몽', 'C': '공원', 'D': '꿈 일꾼', 'E': '깨어나다'","'B': '악몽' 
고르세요. 'A': '현실', 'B': '악몽', 'C': '공원', 'D': '꿈 일꾼', 'E': '깨어나다'",The correct answer is E: 'awake',"'A': 'reality', 'B': 'nightmare', 'C': 'park', 'D': 'dreamer', 'E': 'wake up'",E,0.4932663,"[{'label': 'A', 'text': 'reality'}, {'label': 'B', 'text': 'nightmare'}, {'label': 'C', 'text': 'park'}, {'label': 'D', 'text': 'dreamworker'}, {'label': 'E', 'text': 'awake'}]"
"Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what? Choose the correct answer from the following options: 'A': 'turn on', 'B': 'play music', 'C': 'eat cake', 'D': 'space shuttle', 'E': 'blaring'","수잰은 대부분 하루 종일 라디오를 들었습니다. 그녀는 토크쇼를 좋아하지 않았으므로 주로 어떤 방송국을 듣게 되었습니까? 옵션에서 올바른 답을 선택하십시오: 'A': '켜다', 'B': '음악 재생', 'C': '케이크 먹기', 'D': '우주선', 'E': '불어 퀴기'",정답은 'B': '음악 재생'입니다. 수잰은 토크쇼를 좋아하지 않았기 때문에 주로 음악을 재생하는 방송국을 듣게 되었습니다.,B: 'play music',The answer is 'B': 'Playing music'. Soo Jan mainly listened to a radio station that played music because she didn't like talk shows.,B,0.5880622,"[{'label': 'A', 'text': 'turn on'}, {'label': 'B', 'text': 'play music'}, {'label': 'C', 'text': 'eat cake'}, {'label': 'D', 'text': 'space shuttle'}, {'label': 'E', 'text': 'blaring'}]"
"The lady had her specialized looking glasses and gown ready for the evening, she sent her butler to the ticket office of the what? Choose the correct answer from the following options: 'A': 'train station', 'B': 'end of line', 'C': 'arena', 'D': 'hero show', 'E': 'opera house'","여자가 저녁을 위해 전문적으로 보는 안경과 가운을 준비했고, 그녀는 당신의 버틀러를 무엇의 티켓 오피스로 보냈습니다? 다음 옵션에서 올바른 답을 고르십시오: 'A': '기차역', 'B': '끝나는 곳', 'C': '아레나', 'D': '히어로 쇼', 'E': '오페라 하우스' 'E': '오페라 하우스'",'오페라 하우스' (E),E: 'opera house',Opera House,E,0.8738506,"[{'label': 'A', 'text': 'train station'}, {'label': 'B', 'text': 'end of line'}, {'label': 'C', 'text': 'arena'}, {'label': 'D', 'text': 'hero show'}, {'label': 'E', 'text': 'opera house'}]"
"Despite warnings to not do it while printing on printer, they still had an issue with people carelessly doing what near it? Choose the correct answer from the following options: 'A': 'drink coffee', 'B': 'paper and ink', 'C': 'printer', 'D': 'error', 'E': 'using paper'","인쇄기로 인쇄하는 동안 그것을 하지 말라는 경고에도 불구하고, 그들은 여전히 사람들이 무심코 인쇄기 근처에서 어떤 것을 하는 데 문제가 있었습니다?
정답: 'B': '종이와 잉크'","를 바꾸거나 조작하는 것이었다. 종이와 잉크를 바꿀 때는 반드시 인쇄기를 멈추고 전원을 끄도록 경고했지만, 여전히 몇몇 사람들이 이를 무시하고 인쇄기를 계속 조작하는 경우가 종종 있었다.",The correct answer is: 'A': 'drink coffee',"It was changing or manipulating. When changing paper and ink, it was always warned to stop the printer and turn off the power, but still, some people often ignored this and continued to operate the printer.",A,0.049789347,"[{'label': 'A', 'text': 'drink coffee'}, {'label': 'B', 'text': 'paper and ink'}, {'label': 'C', 'text': 'printer'}, {'label': 'D', 'text': 'error'}, {'label': 'E', 'text': 'using paper'}]"
